id,סכום,שולם עד כה,נשאר לתשלום,מס תשלומים,גביה חודשית,יתרה בשנים,משולם עד סוף 2025 (החל מיוני),משולם בשנת 2026,משולם בשנת 2027,משולם מ-2028-2030 (3 שנים),משולם 2031-2035,data validation,לינק לתרומה
00900397,"₪25,000.00","6,944.00","₪18,056.00",65,277.77,5.42,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,445.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00629574,"₪7,222.00","7,222.00",0,,277,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00451664,"₪25,000.00","9,165.00","₪15,835.00",57.01,277.77,4.75,"₪1,944.39","₪3,333.24","₪3,333.24","₪7,224.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00382562,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00331874,"₪25,000.00","15,974.00","₪9,026.00",27.69,326,2.31,"₪2,282.00","₪3,912.00","₪2,832.00",₪ -,₪ -,FALSE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00283273,"₪25,000.00","7,228.00","₪17,772.00",63.93,278,5.33,"₪1,946.00","₪3,336.00","₪3,336.00","₪9,154.00",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
00109353,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
59.00,,"1,809,504.04","2,065,385.96",,,,"₪183,022.30","₪281,547.10","₪255,106.70","₪638,694.00","₪180,181.80",,https://www.jgive.com/new/he/ils/charity-organizations/3508
56.00,"₪10,275.00","10,275.00",0,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
55.00,"₪11,005.00","11,005.00",,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
54.00,"₪11,388.00","11,388.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
53.00,"₪25,000.00",0,"₪25,000.00",,250,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
49.00,"₪25,000.00",0,"₪25,000.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
234,,,,,,,,,,,,,https://www.jgive.com/new/he/ils/charity-organizations/3508
"23,456,789.00",,,,,,,,,,,,,https://www.jgive.com/new/he/ils/charity-organizations/3508
1770476,"₪25,000.00","12,250.00","₪12,750.00",85,150,7.08,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,700.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
1456621,"₪25,000.00","12,527.00","₪12,473.00",83.15,150,6.93,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,423.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
1449329,"₪25,000.00","20,132.00","₪4,868.00",4.87,"1,000.00",0.41,"₪4,868.00",₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
09.00,"₪25,000.00","6,000.00","₪19,000.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
66639204,"₪25,000.00","11,971.00","₪13,029.00",86.86,150,7.24,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,979.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
66602871,"₪25,000.00","12,526.00","₪12,474.00",83.16,150,6.93,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,424.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
66559329,"₪25,000.00","10,150.00","₪14,850.00",74.25,200,6.19,"₪1,400.00","₪2,400.00","₪2,400.00","₪7,200.00","₪1,450.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
40133241,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
28120236,"₪25,000.00","12,525.00","₪12,475.00",83.17,150,6.93,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,425.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
26595785,"₪25,000.00","11,969.00","₪13,031.00",86.87,150,7.24,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,981.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
3500547,"₪25,000.00","23,000.00","₪2,000.00",2,"₪1,000.00",0.17,"₪2,000.00",₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
8872786,"₪25,000.00","12,056.00","₪12,944.00",86.29,150,7.19,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,894.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508%
